hs6,base_exports,base_imports,v25_exports,v25_imports,import_change25,export_change25,us_tariff_2019,us_tariff_2020,trump1_hit
151610,2004193,17191796.333333332,197114,15819617,-0.07981593701600577,-0.9016491924679909,15,7.5,TRUE
151620,1719419.6666666667,4843750.333333333,2867851,4026025,-0.1688207023607258,0.6679179932609044,15,7.5,TRUE
151800,7853028.333333333,664814893.6666666,6309146,612794668,-0.07824768392260055,-0.19659706648199618,15,7.5,TRUE
152110,438125.3333333333,1528815.3333333333,203983,1665514,0.08941476690230306,NA,10,5,TRUE
152190,390564.3333333333,8085010,493727,5806108,-0.28186755489479914,NA,15,7.5,TRUE
160411,157608.66666666666,3630718.6666666665,0,1660616,-0.5426205794334932,NA,25,25,TRUE
160413,2769,4788942.333333333,0,4097755,-0.14432985098240544,NA,25,25,TRUE
160414,127779,1678214.6666666667,10446,701604,-0.5819342936660468,NA,25,25,TRUE
160415,0,7656493,60650,5315162,-0.30579679234343976,NA,25,25,TRUE
160417,508879,38599097,23296,32276978,-0.16378929797243702,NA,25,25,TRUE
160419,135695,17345392.333333332,0,7159039,-0.5872656632711507,NA,25,25,TRUE
160420,140631.33333333334,20998255.333333332,509927,17379888,-0.17231752237955764,NA,25,25,TRUE
160431,5000,26928197.666666668,0,37568690,0.3951431308195115,NA,25,25,TRUE
160432,0,3445953.6666666665,0,3760199,0.09119255907967813,NA,25,25,TRUE
160510,27674,49411830,425568,25256445,-0.4888583361514844,NA,25,25,TRUE
160521,320104.3333333333,24993793.333333332,0,11039522,-0.5583094629626715,NA,25,25,TRUE
160540,111101,14175066,38650,16984175,0.19817255171863044,NA,25,25,TRUE
160551,45605.5,28895866.666666668,0,23332889,-0.1925181110101099,NA,25,25,TRUE
160552,0,1951271.3333333333,0,1345045,-0.31068274461744083,NA,25,25,TRUE
160554,97911,14739068.333333334,0,12806107,-0.1311454217877408,NA,25,25,TRUE
160555,0,7529422,0,2003293,-0.7339380101155175,NA,25,25,TRUE
160556,161105,22550137.666666668,124200,8920889,-0.6043975814308776,NA,25,25,TRUE
160557,378860,6012661.666666667,28200,2461317,-0.5906443541227028,NA,25,25,TRUE
160559,0,1538206.3333333333,0,1310031,-0.14833857356371127,NA,25,25,TRUE
160563,0,1548397.3333333333,0,802327,-0.48183390482029587,NA,25,25,TRUE
160569,0,5626491,0,3253668,-0.42172341518008294,NA,25,25,TRUE
170191,752585.3333333334,3587377.6666666665,292263,857408,-0.7609931042480148,NA,15,7.5,TRUE
170199,978695.6666666666,2562879,2328676,1181209,-0.5391085572124162,NA,30,27.5,TRUE
170230,986426.6666666666,46905779.666666664,684607,44864750,-0.043513393896682434,NA,15,7.5,TRUE
170250,771710,1345932,4053759,639776,-0.5246594924557852,NA,15,7.5,TRUE
170290,2893917.3333333335,4935826.333333333,3130549,3978005,-0.19405490968449116,0.08176863379649632,17.20779252052307,10.389610528945925,TRUE
170410,104883.33333333333,7452260.333333333,167380,7126102,-0.04376636332395076,NA,15,7.5,TRUE
170490,4710305.666666667,145068201,9155946,132302721,-0.08799640384318269,0.943811431345892,17.828282594680786,11.691919088363647,TRUE
180631,980657.3333333334,4619796.333333333,420344,4388712,-0.05002045905486881,NA,5,2.5,TRUE
180690,22805431,12866370.666666666,36813344,5915727,-0.5402178941318649,0.6142358370688105,15,7.5,TRUE
190120,2376446,1285629.6666666667,1542751,2082436,0.6197790499026546,-0.35081588220392973,15,7.5,TRUE
190190,11878443,39441745.666666664,4664705,37743893,-0.043047097382952995,-0.6072965960269372,15.756302416324615,8.613445341587067,TRUE
190219,20418.666666666668,68482391.33333333,0,48170156,-0.2966052285537887,NA,25,25,TRUE
190220,223354,3389877.3333333335,0,4319659,0.2742818029206956,NA,25,25,TRUE
190230,23419.333333333332,57444473,313600,43910891,-0.23559415367950196,NA,25,25,TRUE
190300,0,3533576,0,4807816,0.3606091958967346,NA,15,7.5,TRUE
190410,633011,6675280.333333333,394771,6658029,-0.0025843608765294336,NA,15,7.5,TRUE
190490,57214.666666666664,1082558.6666666667,0,937754,-0.13376149591276967,NA,15,7.5,TRUE
190520,131740,1477138.3333333333,0,3809284,1.5788268532737288,NA,15,7.5,TRUE
190531,1603392.6666666667,11255448,1115704,7717107,-0.3143669625589315,-0.3041604697372946,11.25,5.625,TRUE
190540,4424.666666666667,5794337,5166,7601320,0.311853280194093,NA,15,7.5,TRUE
190590,11773941,74867316,6236469,56222550,-0.24903745714618647,-0.47031592905043434,17.5,15,TRUE
200190,93884,18507131.666666668,81396,15553009,-0.1596207732172436,NA,22.5,20.625,TRUE
200310,0,2618569.3333333335,0,2375767,-0.09272327841106116,NA,25,25,TRUE
200390,14711,1915486.6666666667,0,1704949,-0.10991340755874054,NA,25,25,TRUE
200490,475924.3333333333,9594152.333333334,30529,10290076,0.07253623274760726,NA,21.666666507720947,19.166666507720947,TRUE
200520,946869,5435751.666666667,1644684,7669619,0.41095831272645206,NA,25,25,TRUE
200540,138780.33333333334,3491166.6666666665,0,2883991,-0.17391769704492285,NA,25,25,TRUE
200551,10417.5,2509379.3333333335,0,2500587,-0.003503788054894911,NA,25,25,TRUE
200559,3886.5,3653324,0,741435,-0.7970519450232172,NA,25,25,TRUE
200580,83143.5,8045549,0,3034008,-0.6228960882594836,NA,25,25,TRUE
200591,0,18232878.333333332,0,14490488,-0.20525504886913534,NA,25,25,TRUE
200599,408741.3333333333,182884138.33333334,175316,164813229,-0.09881069784409867,NA,25,25,TRUE
200600,0,2301748.6666666665,266673,2390029,0.03835359377493582,NA,25,25,TRUE
200799,522244.6666666667,4139200.6666666665,379683,1994274,-0.5181982801510308,NA,23.75,22.8125,TRUE
200811,1146748,3502139.3333333335,399427,3530374,0.008062119744331468,-0.651687205907488,25.119047164916992,22.976190090179443,TRUE
200819,201072006.33333334,18153725.333333332,2851681,16056723,-0.11551360918096952,-0.9858176130431974,25,25,TRUE
200820,0,2324316,0,2270509,-0.023149606163705795,NA,25,25,TRUE
200830,4118164,245069120.33333334,1894433,190638002,-0.2221051687756429,-0.5399811663644284,21.875,19.53125,TRUE
200840,0,26997467.333333332,0,20972406,-0.22317135377711106,NA,25,25,TRUE
200850,4800,1521785,0,1587000,0.04285427967814113,NA,25,25,TRUE
200870,37759,71567829,0,49568787,-0.307387303868055,NA,25,25,TRUE
200897,90768.5,32975512.333333332,122211,24272213,-0.263932194452536,NA,25,25,TRUE
200899,9879102.333333334,152358833.33333334,2940181,143553861,-0.05779101966519834,-0.7023837894583337,23.181817770004272,21.8181813955307,TRUE
200979,248290,142275710.33333334,70219,157952572,0.11018649374470052,NA,25,25,TRUE
200989,13524040.333333334,40544573.333333336,11124725,48292456,0.19109542978706884,-0.17741113411349635,22.5,20.625,TRUE
210111,2758581.6666666665,2716403,3420376,3100117,0.14125812701576312,0.23990383947306262,13.125,6.5625,TRUE
210120,340577.6666666667,54164108.666666664,501388,44587357,-0.17680991901119067,NA,14.44444465637207,7.222222328186035,TRUE
210210,267534.3333333333,10034922,6105,3951175,-0.6062575274625951,NA,15,7.5,TRUE
210220,5893657.333333333,23000137.333333332,5456292,13179619,-0.4269765084880942,-0.07420949481736633,15,7.5,TRUE
210230,337093.3333333333,1441665,68328,1469773,0.01949690115248688,NA,15,7.5,TRUE
210310,279168.6666666667,54511241,98363,45186276,-0.1710649918977262,NA,25,25,TRUE
210390,8588075.666666666,114887303,20519321,93503297,-0.18613028108075616,1.3892804158261765,16.59523832798004,10.38095247745514,TRUE
210410,433876.3333333333,42864020.666666664,78437,40140331,-0.06354256143742366,NA,15,7.5,TRUE
210500,8950083.666666666,2501822,1603620,11687333,3.6715285899636343,-0.8208262559631193,15,7.5,TRUE
210610,13948350,14106822.333333334,31598799,17031812,0.2073457506978833,1.2654148340126252,25,25,TRUE
210690,345339845.3333333,459682389.6666667,395386971,413967370,-0.09944914291760534,0.14492137627026375,14.642857551574709,7.3214287757873535,TRUE
220210,1439849,8387100,1288574,6340573,-0.24400889461196362,-0.10506310036677458,25,25,TRUE
220299,2157765.6666666665,13585756.666666666,2330243,10452221,-0.230648593490192,0.07993330137640842,22.291666507720947,18.958333253860474,TRUE
220300,15526843.666666666,4576360.666666667,15364568,3651481,-0.20209938290120205,-0.010451297775029619,25,25,TRUE
220421,59715614,1053882.6666666667,25887132,92178,-0.9125348552400521,-0.5664930783429607,25,25,TRUE
220820,3941610.6666666665,2950245,1088027,380810,-0.8709225843955333,-0.7239638584294474,15,7.5,TRUE
220830,16825647.333333332,1278399.6666666667,13260750,5564848,3.3529798584115187,-0.21187281907846156,9,4.5,TRUE
220890,1056773.6666666667,40833401.333333336,831967,21018659,-0.48525818781493624,-0.2127292472907318,14.166666984558104,7.083333492279053,TRUE
220900,2660846.6666666665,5712281,4574969,5064795,-0.11334981594918037,0.7193658910572325,25,25,TRUE
230400,3484258.3333333335,7809498,1747912,0,-1,-0.4983402971938074,25,25,TRUE
230641,0,1544112.3333333333,0,423699,-0.7256035128705014,NA,25,25,TRUE
230690,147867.66666666666,1298998,26483,948351,-0.26993652030257165,NA,25,25,TRUE
230910,272896473.6666667,183712361.66666666,244791896,121830233,-0.336842486293587,-0.10298622510232736,25,25,TRUE
230990,243512900,92359783.66666667,163871914,28568009,-0.6906877878460167,-0.3270503780292543,21.214285373687744,15.964285373687744,TRUE
240220,172147,11963779.333333334,0,7195606,-0.39855075896028175,NA,25,25,TRUE
240412,4683403.333333333,115330622,416388,20769297,-0.8199151566181616,-0.9110928591102909,NA,NA,FALSE
240419,204414.3333333333,3886579,0,3894494,0.0020364953343287246,NA,NA,NA,FALSE
250100,27949403.333333332,8830748.333333334,23998271,11377081,0.2883484581997485,-0.14136732316646947,25,25,TRUE
250410,733534.3333333334,114848090,613126,42349123,-0.6312596665734711,NA,0,0,FALSE
250490,97721,4601231.333333333,13678,6564384,0.4266581105028843,NA,0,0,FALSE
250610,21606458.666666668,2659219.6666666665,4158776,2722354,0.023741676599614056,-0.8075216274837327,25,25,TRUE
250620,1426267.5,1975134.6666666667,9100,284842,-0.8557860358551079,-0.9936197101876051,25,25,TRUE
250810,12621911.333333334,2005112.3333333333,12478446,2618969,0.30614577371143137,-0.011366371506227817,25,25,TRUE
250830,1512384.3333333333,1118390.6666666667,411087,158818,-0.8579941654257963,-0.7281861555032417,0,0,FALSE
250860,390724.3333333333,2071562,412981,1859671,-0.10228561829189761,NA,25,25,TRUE
250900,0,1604203.6666666667,0,1621547,0.010811179212282016,NA,25,25,TRUE
251110,75792.66666666667,46664668,36458,26798316,-0.42572577608395284,NA,0,0,FALSE
251320,1161295,5060166,109824,7908348,0.5628633527042394,-0.9054297142414287,25,25,TRUE
251620,116871,2089843.3333333333,157870,1185994,-0.4324962158247907,NA,25,25,TRUE
251710,135507.66666666666,4483143.333333333,139949,5378931,0.19981240840689912,NA,25,25,TRUE
251910,22899,2644876.6666666665,12160,2118931,-0.1988545149553287,NA,0,0,FALSE
