hs6,chn_reta_2019,n_hs8
291829,25.0,1
291830,10.0,1
291899,10.0,1
291990,20.0,1
292019,20.0,1
292023,5.0,1
292029,7.5,2
292090,10.0,1
292111,20.0,1
292112,5.0,1
292119,10.0,1
292121,7.5,2
292122,5.0,1
292129,10.0,1
292130,20.0,1
292142,25.0,1
292143,20.0,1
292144,25.0,1
292145,25.0,1
292146,5.0,1
292149,15.0,3
292151,15.0,2
292159,25.0,1
292211,5.0,1
292212,10.0,1
292215,5.0,1
292217,5.0,1
292219,9.0,5
292221,10.0,1
292229,25.0,1
292231,5.0,1
292239,25.0,1
292241,15.0,2
292242,23.333333333333332,3
292243,5.0,1
292249,11.25,4
292250,25.0,1
292310,10.0,1
292320,10.0,1
292390,10.0,1
292419,12.5,2
292421,25.0,1
292429,23.333333333333332,3
292511,25.0,1
292519,5.0,1
292529,25.0,1
292610,25.0,1
292620,10.0,1
292690,5.0,1
292700,25.0,1
292800,20.0,1
292910,20.0,3
292990,20.0,1
293020,5.0,1
293030,20.0,1
293040,25.0,1
293090,18.333333333333332,3
293139,25.0,1
293190,5.0,1
293211,20.0,1
293212,25.0,1
293213,10.0,1
293214,5.0,1
293219,10.0,1
293220,20.0,2
293295,5.0,1
293299,12.5,2
293311,25.0,1
293319,25.0,1
293321,5.0,1
293329,20.0,1
293331,5.0,1
293332,25.0,1
293333,5.0,1
293339,5.0,1
293341,5.0,1
293349,25.0,1
293352,5.0,1
293353,20.0,1
293359,15.0,2
293361,25.0,1
293369,17.5,2
293379,10.0,1
293391,5.0,1
293399,25.0,1
293410,25.0,1
293420,20.0,1
293430,20.0,1
293491,5.0,1
293499,18.333333333333332,3
293590,20.0,1
293621,25.0,1
293622,25.0,1
293623,25.0,1
293624,25.0,1
293625,20.0,1
293626,25.0,1
293627,20.0,1
293628,10.0,1
293629,10.0,1
293690,10.0,1
293712,25.0,2
293719,25.0,1
293722,25.0,1
293723,25.0,1
293729,25.0,1
293750,25.0,1
293790,5.0,1
293890,25.0,1
293911,20.0,1
293919,25.0,1
293930,5.0,1
293942,5.0,1
293971,5.0,1
293980,25.0,1
294000,20.0,1
294110,15.0,2
294120,5.0,1
294190,18.333333333333332,3
294200,5.0,1
300510,15.0,2
300590,5.0,2
300610,5.0,1
300620,5.0,1
300630,25.0,1
300640,10.0,1
300650,10.0,1
300660,25.0,1
300670,10.0,1
300691,25.0,1
310100,12.5,2
310210,25.0,1
310221,10.0,1
310250,25.0,1
310290,25.0,1
310319,5.0,1
310420,25.0,2
310430,25.0,1
310490,5.0,1
310510,25.0,1
310520,25.0,1
310530,10.0,1
310540,25.0,1
310559,5.0,1
310560,20.0,1
310590,12.5,2
320110,25.0,1
320190,25.0,2
320210,25.0,1
320290,25.0,1
320300,15.0,2
320411,25.0,1
320412,25.0,1
320413,25.0,1
320414,10.0,1
320415,12.5,2
320416,25.0,1
320417,20.0,1
320419,23.333333333333332,3
320420,5.0,1
320490,21.666666666666668,3
320500,5.0,1
320611,15.0,2
320619,10.0,1
320620,10.0,1
320641,25.0,1
320642,22.5,2
320649,13.333333333333334,3
320650,10.0,1
320710,25.0,1
320720,25.0,1
320730,25.0,1
320740,10.0,1
320810,25.0,1
320820,22.5,2
320890,20.0,2
320910,10.0,1
320990,21.666666666666668,3
321000,20.0,1
321100,20.0,1
321210,20.0,1
321290,10.0,1
321310,10.0,1
321390,5.0,1
321410,17.5,2
321490,10.0,1
321511,20.0,1
321519,20.0,1
321590,11.666666666666666,3
330112,5.0,1
330113,5.0,1
330119,5.0,2
330124,5.0,1
330125,10.0,1
330129,11.25,8
330130,22.5,2
330190,10.0,3
330210,15.0,2
330290,20.0,1
330300,25.0,1
330410,25.0,1
330420,25.0,1
330430,25.0,1
330491,25.0,1
330499,25.0,1
330510,25.0,1
330520,25.0,1
330530,25.0,1
330590,25.0,1
330610,20.0,2
330620,20.0,1
330690,20.0,2
