sector,year,exports,imports,base_imports,base_exports,base_total,total_trade,trade_change,trade_asymmetry
08,2015,350132310,192316503,177410207.33333334,406293371.6666667,583703579,542448813,-0.07067759644489005,1.8206045999078924
08,2016,379647558,181271274,177410207.33333334,406293371.6666667,583703579,560918832,-0.03903479063643021,2.0943613934108503
08,2017,489100247,158642845,177410207.33333334,406293371.6666667,583703579,647743092,0.10971238708132026,3.0830274570529794
08,2018,450938200,197901145,177410207.33333334,406293371.6666667,583703579,648839345,0.11159048589626688,2.2786032895362984
08,2019,728821863,144726595,177410207.33333334,406293371.6666667,583703579,873548458,0.49656176427179316,5.03585303723894
08,2020,838914774,144567564,177410207.33333334,406293371.6666667,583703579,983482338,0.6849003045088404,5.802925295192773
08,2021,1008010921,160324115,177410207.33333334,406293371.6666667,583703579,1168335036,1.0015896390451977,6.287331890152645
09,2015,13702701,297245515,295502830.3333333,17769004,313271834.3333333,310948216,-0.0074172590021638965,0.04609893272906069
09,2016,17407167,291796231,295502830.3333333,17769004,313271834.3333333,309203398,-0.012986920263646621,0.059655215354717864
09,2017,22197144,297466745,295502830.3333333,17769004,313271834.3333333,319663889,0.020404179265810708,0.07462058994191098
09,2018,29303442,296483997,295502830.3333333,17769004,313271834.3333333,325787439,0.03995126051884256,0.09883650482491303
09,2019,19401275,285074082,295502830.3333333,17769004,313271834.3333333,304475357,-0.028079375064320407,0.06805695861190215
09,2020,16892216,237912856,295502830.3333333,17769004,313271834.3333333,254805072,-0.18663268103165132,0.07100169483905486
09,2021,14445140,263493023,295502830.3333333,17769004,313271834.3333333,277938163,-0.11278917368529506,0.05482171723385632
10,2015,2466361238,11414550,10212827.666666666,1703126534.6666667,1713339362.3333333,2477775788,0.446167550032592,216.07170129352448
10,2016,1294793993,7479126,10212827.666666666,1703126534.6666667,1713339362.3333333,1302273119,-0.23992108765511427,173.12102951601565
10,2017,1348224373,11744807,10212827.666666666,1703126534.6666667,1713339362.3333333,1359969180,-0.2062464623774776,114.79323355419974
