hs6,year,exports,imports,base_imports,base_exports,import_change,export_change,hs2
020629,2020,4504009,0,0,107465,NA,40.91140371283674,02
020629,2021,15046702,0,0,107465,NA,139.01490717908158,02
020630,2019,356310,0,NA,NA,NA,NA,02
020630,2020,214121,0,NA,NA,NA,NA,02
020641,2016,26460,0,0,26460,NA,0,02
020649,2015,145233357,0,0,213676978.66666666,NA,-0.3203135035592104,02
020649,2016,245160601,0,0,213676978.66666666,NA,0.1473421354503865,02
020649,2017,250636978,0,0,213676978.66666666,NA,0.17297136810882405,02
020649,2018,130509248,0,0,213676978.66666666,NA,-0.38922176448594986,02
020649,2019,242005597,0,0,213676978.66666666,NA,0.13257683869410014,02
020649,2020,446582598,0,0,213676978.66666666,NA,1.089989294994025,02
020649,2021,640661941,0,0,213676978.66666666,NA,1.9982731176643247,02
020690,2015,221060,0,0,113610,NA,0.9457794208256316,02
020690,2016,6160,0,0,113610,NA,-0.9457794208256316,02
020690,2018,100404,7732,0,113610,NA,-0.11623976762608926,02
020711,2020,160000,0,NA,NA,NA,NA,02
020711,2021,203255,0,NA,NA,NA,NA,02
020712,2015,63734,0,0,63734,NA,0,02
020712,2020,9869820,0,0,63734,NA,153.859572598613,02
020712,2021,7546895,0,0,63734,NA,117.41238585370446,02
020714,2015,15164288,0,0,6716277.333333334,NA,1.2578412485646808,02
020714,2016,3801092,0,0,6716277.333333334,NA,-0.43404778996618765,02
020714,2017,1183452,0,0,6716277.333333334,NA,-0.8237934585984935,02
020714,2018,84863,0,0,6716277.333333334,NA,-0.9873645777581549,02
020714,2019,1906747,0,0,6716277.333333334,NA,-0.7161006156585156,02
020714,2020,726520639,106106,0,6716277.333333334,NA,107.1731147989124,02
020714,2021,872982528,0,0,6716277.333333334,NA,128.9801191453678,02
020725,2021,7253,0,NA,NA,NA,NA,02
020727,2015,782864,0,0,445957,NA,0.7554696977511285,02
020727,2016,109050,0,0,445957,NA,-0.7554696977511285,02
020727,2018,20359,0,0,445957,NA,-0.954347616474234,02
020727,2020,27240757,0,0,445957,NA,60.08381974046825,02
020727,2021,14653552,0,0,445957,NA,31.858665745800604,02
020742,2015,8000,0,0,8000,NA,0,02
020742,2016,8000,0,0,8000,NA,0,02
020742,2021,102533,0,0,8000,NA,11.816625,02
020745,2017,25193,0,0,25193,NA,0,02
020745,2020,168780,0,0,25193,NA,5.6994800142896835,02
020760,2016,107268,0,0,163104,NA,-0.34233372572101234,02
020760,2017,218940,0,0,163104,NA,0.34233372572101234,02
020760,2020,305111,0,0,163104,NA,0.8706530802432804,02
020760,2021,666211,0,0,163104,NA,3.084577938002747,02
020810,2015,0,2577108,3059181.3333333335,0,-0.1575824643281471,NA,02
020810,2016,0,2633777,3059181.3333333335,0,-0.1390582273427401,NA,02
020810,2017,0,3966659,3059181.3333333335,0,0.296640691670887,NA,02
020810,2018,0,3323413,3059181.3333333335,0,0.08637332602273544,NA,02
020810,2019,103200,2690254,3059181.3333333335,0,-0.12059675224657058,NA,02
020810,2020,0,3964494,3059181.3333333335,0,0.29593298599276663,NA,02
020810,2021,0,2844349,3059181.3333333335,0,-0.07022543286090488,NA,02
020840,2017,4990,0,0,4990,NA,0,02
020840,2020,6262,0,0,4990,NA,0.25490981963927856,02
020890,2015,0,19398305,15818939.333333334,120794.33333333334,0.22627090168582306,-1,02
020890,2016,0,15441885,15818939.333333334,120794.33333333334,-0.023835626737553323,-1,02
