hs_code,best_avlbl
120400,36.755348616950016
151491,23.200000000000003
160239,26.40000000000001
160555,43.5
220300,45.59
230120,45
252490,19.5
271600,10
281112,24.19999999999999
282741,38.9
290315,25.5
290381,22.75
290434,48.69999999999999
291249,41.825
291719,42.85
292029,48.849999999999994
292121,25.80000000000001
300215,10
310560,35
360200,27.5
370390,29.75
381590,42.325
392190,42.7375
441239,35.625
460211,49.46666666666666
470693,30
480254,35
480452,41
481039,38.375
500400,20
510720,49.75
511220,53.833333333333336
520941,50.25
521142,52.599999999999994
540269,52.5
551130,52.5
551521,35.5
580790,48.56666666666667
600634,55
610610,47.19999999999999
610799,30.40000000000001
611239,33.19999999999999
650200,42.95
680800,43.5
701962,36.38333333333333
711319,29.183333333333337
721430,60
721622,86
722860,91.66666666666669
730629,56.85666666666666
730793,68.27333333333333
731449,64.97
740721,68.28
740819,68.64
741300,67.63666666666667
760711,60.84
820140,47.849999999999994
820299,45
820412,53.5
830220,70.32000000000001
840310,47.47
843149,41.34999999999998
843691,41
844540,24.19999999999999
845612,46.63333333333333
846232,49.400000000000006
846490,46
848120,45.5
848630,35
850110,45.63333333333333
850410,30.5
850790,53.975
851631,23.90000000000001
852721,60.5
854012,25.950000000000003
854370,36.92142857142858
871140,28.700000000000003
880710,38
890311,44.900000000000006
890333,35.5
890393,44.425
910191,22.5
920930,27.5
940429,39
960500,28.09999999999999
010641,20
020745,20.85312489540999
020910,23.19999999999999
070390,65
080122,10
150920,27.911726669125
151630,27
200560,58.900000000000006
280540,21.69999999999999
281121,48.69999999999999
282090,48.19999999999999
283090,35.225
290124,36.666666666666664
290319,41.5125
290348,23.84999999999999
290944,50.5
291511,42
291632,51.5
320650,51.5
320730,48.099999999999994
330430,38.93
370690,35
380700,45.099999999999994
382759,48.69999999999999
391400,41.725
400299,45
401150,42.5
411310,35.10000000000001
440712,36.5
441210,39
481710,43.5
500720,34.5
500790,34.85000000000001
510610,51
511119,45.5
520839,54.5
520859,49.440000000000005
540783,46.5
550951,55.14999999999999
551299,56
570239,46.8
600535,37.5
611011,43.5
620220,42.7
620230,33.2875
621149,34
621430,25.30000000000001
631010,27.75
701610,41.19999999999999
721931,78
740921,65.03999999999999
760110,69.55
811100,22.924999999999997
830241,61.41333333333335
830621,31.5
841340,35
841360,44.5
842482,44.900000000000006
844240,40.5
848280,43.30000000000001
850680,44.19999999999999
851432,45.650000000000006
851850,44.5
852349,21.75
852499,35
870423,85
902221,20
930320,27.59999999999999
940410,45
021011,20.08632396642099
030445,20
030639,20
070954,70
070991,31.30000000000001
150790,31.549999999999997
151219,30.5
151620,35.599999999999994
220890,20.86790023708611
252330,45
260111,32.5
280620,49.19999999999999
281520,35
290241,45
290376,23.69999999999999
291422,42.75
292022,23.84999999999999
292421,34.730000000000004
293291,26.5
321511,43.03333333333334
370191,35.2
370231,48.69999999999999
370242,48.69999999999999
380590,34.349999999999994
380861,42.99
381220,50.75
390410,51.5
390422,51.5
392630,33.400000000000006
400690,45.849999999999994
410711,43.81250000000001
411520,20
420321,39.733333333333334
440341,20
441291,33.1
441292,36.4
460212,47.8
470421,20
481720,45
481940,44
521011,34.53333333333333
540253,53
540761,57.63333333333333
550700,49.5
551443,45
600390,55.349999999999994
610419,28.916666666666668
620120,42.3
620329,35
620469,38.09166666666667
620711,33.599999999999994
640419,41.88636363636363
700312,32.900000000000006
700510,46.45
701971,49.30000000000001
711590,34.975
720429,30.5
722699,74
730431,71.94
730519,45.940000000000005
732181,30.36
732399,49.55
732619,67.87000000000002
740322,33.5
760120,78.23333333333333
800700,29.000000000000004
810999,48.19999999999999
841590,33.05
841780,48.900000000000006
841989,45.4
843330,39.5
847751,48.099999999999994
847759,48.099999999999994
847989,40.56249999999999
848049,59.56999999999999
848299,54.68333333333333
850990,47.175
852380,25.5
852582,45
854129,34.5
870230,34.5
870332,37.5
871690,53.72666666666667
880730,46.76999999999999
901210,43
901480,42.125
910221,39.325306223061666
910390,28.5
961511,25.9
130120,20
170250,34.099999999999994
170490,42.21249999999999
200210,38.5
200990,32.05973435223001
220429,27.5
220430,22
260600,12
270120,35
280410,48.69999999999999
284510,45
284540,20
290539,46.5625
291090,49.81666666666667
291533,50.5
291737,51.5
293379,28.767142857142854
300213,10
300660,10
300691,24.19999999999999
320415,42
320910,49.03
380869,51.74
390591,44.575
392290,40.30000000000001
400219,41
400220,45
401310,63.7
410719,44.587500000000006
430220,47.43333333333333
441299,37.416666666666664
442120,46.55000000000001
480920,43.25
481620,44
482040,45
482369,44.5
510710,51
520534,29.90000000000001
521112,52.19999999999999
521151,39
540794,36.63333333333333
550320,41.80000000000001
550610,50
550922,55.599999999999994
560313,44
581100,50.5
590210,50.80000000000001
590290,43
610422,35
610990,39.3
611710,32.85
620443,39.7
620811,42.400000000000006
621490,38.30000000000001
630291,36.69999999999999
690100,37
690320,40
701341,37.625
720990,60
721933,78
730512,51.69
730722,65.29
732010,63.20000000000002
740990,56.20666666666667
820210,44.5
820220,44
841935,45
842119,44.650000000000006
842122,45
842870,49.95
843131,38.34999999999998
844317,47.19999999999999
845019,21.80000000000001
846029,47.400000000000006
846090,49.400000000000006
847090,45
850980,31.53333333333333
852329,16
853230,45
854914,27.5
870124,42
870421,66.5
880621,44
890400,20
900630,45
910811,23.5
911440,28.6743663744475
911490,31.314285714285713
930200,23
940120,60
950440,20
960899,28.25
020726,23
030272,21.5
030299,20
030449,26.5
030532,44.5
030783,30.5
040229,60.75
040891,37
060230,21.90000000000001
071332,45.12282867758
080211,22
080620,41.93388748383333
080930,45.0187061574435
140190,48.8
151010,24.449757930174997
190190,40.581686031790056
230700,20
240499,25
251020,35
251820,30.5
261400,35
280421,31.69999999999999
282200,33.6
282760,24.000000000000004
290321,25.5
290374,48.69999999999999
290719,43.57
291461,34.5
291540,42.1875
300439,10
310510,35
321490,46.625
330420,43
340242,34.449999999999996
381119,52.43
390430,47.650000000000006
390940,51.75
391810,48.21666666666667
392061,50.80000000000001
392114,51.5
410510,34.5
410691,48.30000000000001
430310,48
440112,35
441251,26.5
480100,41.5
481029,38.25
481420,25.5
481920,45
520541,50
520548,57
521222,36.900000000000006
521223,47.150000000000006
550961,58.19999999999999
551422,59.400000000000006
551613,59.400000000000006
551624,46.900000000000006
620190,28.95
620791,34.75
621010,26.950000000000003
621320,33.89999999999999
621420,33.69999999999999
670490,27.5
700232,51
701965,40.75
710231,27.5
720249,25
721220,87.5
721310,95
721420,89
730669,65.69
750610,47.666666666666664
810391,14.4
820551,44.779999999999994
840690,33.79375
841899,45.099999999999994
841933,41
842330,45
844110,45
845150,45
845951,47.69999999999999
846239,48.400000000000006
848230,47.80000000000001
850120,48.1625
850780,46.8
851190,46.86666666666667
851671,31.19999999999999
852729,58.5
852862,27.5
853110,45.150000000000006
853329,42
854919,27.5
870130,41.1
870830,61.25
890399,44.8
890610,20
900510,25
950612,28.90000000000001
960910,32
010511,20.099998412724005
030242,45
030244,45
030452,20
030743,40
040110,20.236750290749995
040140,156
080929,20
081120,51.5
090300,17.5
120760,24
151560,30.69999999999999
151610,27.68761155916002
170191,34.371428571428574
170260,38.2
200510,38.69999999999999
200799,43.18125
200860,51
230500,20.11369705090999
240311,38.5
240391,137.21751314924333
251110,10.5
270730,10
280300,44.5
281830,45
282530,25.5
283660,37.3
290377,23.84999999999999
290436,23.69999999999999
291450,33.916666666666664
291560,48.8
291990,40.025
293349,15.18222222222222
300432,10
320810,36.13
330510,43.43
390311,51.5
391390,35.050000000000004
392112,43.875
410330,22.09999999999999
420600,22.46666666666667
430190,20
441112,34.68
470200,20
480512,32.5
481032,39.166666666666664
510310,45.282184525290006
520511,46.349999999999994
520527,37
540349,53.3
551221,48.5
570310,50.5
581092,50
600199,48
620449,34.400000000000006
620590,30.24
640620,29.69999999999999
680610,44.400000000000006
690600,35.5
701915,49.30000000000001
711620,28.233333333333334
711790,26.55
720390,36.5
721113,92.5
722850,80
732410,68.17000000000003
761691,47.5
810820,41
811221,15
811229,38
811251,24
820770,48.45
821210,27.5
830810,46
840890,42.25
842230,43.25
842290,35.39166666666666
842952,45.6
843360,45
843820,27.5
844010,27
844400,43.5
846130,49.400000000000006
846599,46.400000000000006
847149,42.5
847810,24
848130,46.5
848140,47
848350,48.78333333333333
848390,50.21666666666667
850450,45
853331,45
854079,48.5
854620,48
860390,27.53
870324,37.5
871494,48.25
871496,51
903149,40.375
940542,47.4
950490,22.166666666666668
950825,27
030233,20
030351,45
030366,20
030693,36.25
030742,44
071320,33.97118407888999
071420,42.75
080610,22.585146897019996
081040,32.5
100119,21
110720,20.42955149161
120799,40.5
121190,42.56
130239,30.69999999999999
151529,34.400000000000006
160249,22.78625058408
220870,26.5
251120,20
253090,19.966666666666665
260200,10
