hs6,china_t1_base,china_t1_conf,china_decline_t1,china_t2_base,china_t2_conf,china_decline_t2,t1_mexico,t1_vietnam,t1_taiwan,t2_mexico,t2_vietnam,t2_taiwan,any_third_rose_t2,third_mean_t2
853290,4642335.666666667,3621899,-0.2198110477003423,4568015.333333333,3653734,-0.20014848169657337,0.47708853212022173,NA,NA,0.17933068975711064,NA,-0.11011578967980493,TRUE,0.03460745003865286
853310,7444983,5272727,-0.29177447416602564,2923175.6666666665,2483043,-0.15056661550845327,1.3870569791887482,NA,-1,-0.2451613477911584,NA,-0.541512849352493,FALSE,-0.3933370985718257
853321,46206195.666666664,36422295,-0.2117443456554639,29793969.333333332,19387484,-0.3492816018203594,0.09205238042056625,-0.9418333305251807,-1,-0.017648901617628155,NA,-0.10072160278982899,FALSE,-0.05918525220372857
853329,15895212,11895821,-0.25160979293638863,12719781.333333334,9535798,-0.2503174582875429,0.3849468678981026,NA,-1,0.29728885923033477,NA,-0.4546554631495091,TRUE,-0.07868330195958717
853339,31885284.666666668,18045575,-0.43404692200019457,4933537.666666667,4740706,-0.03908588110505969,-0.09641637042171236,NA,-1,-0.1439315614454807,-0.13018727292819174,NA,FALSE,-0.13705941718683623
853340,140694987.66666666,84237346,-0.40127685145703706,82787163,66321248,-0.1988945435900491,-0.04944132170900386,-0.4302253849153668,-1,-0.01849664108098069,0.4340624301994744,-0.36434340636911816,TRUE,0.01707412758312517
853390,5510463.333333333,4965023,-0.09898266267990768,4191590.6666666665,4054800,-0.03263454796635673,-0.7932485404871189,NA,-1,-0.21263183548292822,NA,1.6598830997476457,TRUE,0.7236256321323588
853400,960862188,806835388,-0.16030061534693257,853677236.3333334,847220716,-0.00756318671570189,1.097704657790024,1.0015075723185825,-1,-0.2710599313977842,1.2130499560603956,0.5395658190370861,TRUE,0.4938519478998991
853510,19975702.333333332,10537264,-0.4724959441142386,13296003.333333334,12007189,-0.09693246165953132,0.8827775457347586,NA,-1,0.126413428434294,NA,-0.8897131586175788,TRUE,-0.3816498650916424
853521,3436004,3820348,0.11185784417014648,2478648.6666666665,5856366,1.3627253344766088,0.6947367188105863,NA,NA,0.08936614387071529,NA,NA,TRUE,0.08936614387071529
853529,5790799,4264813,-0.2635190756923181,1143227.3333333333,956936,-0.16295213375467457,1.3314613459168048,NA,NA,1.0168508317208953,NA,NA,TRUE,1.0168508317208953
853530,12415303.333333334,3983937,-0.6791107802172105,2433283,2659201,0.0928449341897346,0.17873666634835866,NA,-1,0.2548590135810948,NA,NA,TRUE,0.2548590135810948
853540,33921412.333333336,17760959,-0.4764086228052789,20648172.666666668,13597969,-0.34144443580947714,0.1841254057360794,-0.2988185671559103,-1,-0.07021162355985068,0.7039559550657289,0.14296703844005193,TRUE,0.2589037899819768
853590,55367584,44057433,-0.2042738762088662,66008363.666666664,66645137,0.00964685833675495,0.5068608720749554,NA,-1,0.29045102117160915,1.596536203579155,0.6555738833879555,TRUE,0.8475203693795733
853610,17736000,14017394,-0.20966429860171404,24846609,34496700,0.3883866406075775,0.15608030935111514,NA,-1,-0.07208495087829228,NA,0.1460727700909081,TRUE,0.03699390960630791
853620,55270373.666666664,43505028,-0.2128689365775411,48801122.333333336,63177940,0.2946001439980543,0.20664060531006823,NA,-1,0.16207573227553815,8.721596978498445,0.20987430078653466,TRUE,3.031182337186839
853630,347372680,288108132,-0.17060797066712327,308932430.6666667,230657603,-0.25337199949436195,0.22116626407255263,-0.0843676357768338,-1,0.09048456877657546,1.0714813610394682,0.25188336642088116,TRUE,0.47128309874564156
853641,134100882.66666669,146866678,0.09519546090584018,153610789.33333334,105530088,-0.3130034129894279,-0.28834192498439704,0.10724547297888971,-1,0.03610928918412814,0.2752893780706111,-0.20690990056609426,TRUE,0.03482958889621499
853649,118213413.66666669,104030511,-0.11997710096300102,91747031,85511266,-0.06796694053238628,0.062467875635600724,NA,-1,0.1276433680076409,1.0135822999913677,-0.6918505632282195,TRUE,0.1497917015902631
853650,612167943.3333334,540751912,-0.1166608479112184,500668365,364019015,-0.2729338611198253,0.11144763454943092,0.6998336025556852,-1,-0.07858537941303209,0.1723818793082867,-0.1702938450050057,TRUE,-0.025499115036583697
853661,39329717,24526169,-0.3763959959335583,19563744.333333332,14445154,-0.261636537777286,-0.09115233409537277,NA,NA,-0.08717655608315547,NA,-0.4330489391332051,FALSE,-0.26011274760818026
853669,844073232.6666666,686910520,-0.1861955889421408,692386531.6666666,593334930,-0.14305824440032971,0.044324315748682674,0.6409731243664845,-1,0.0549676578518513,0.2851446595119643,-0.04348661705124868,TRUE,0.09887523343752232
853670,63265916,46511320,-0.2648281580242986,49372759.666666664,42525424,-0.13868650877316763,0.10560149865138202,1,-1,1.7073716717002434,0.07277177438216023,1.6693042847357187,TRUE,1.1498159102727075
853690,350838659.3333333,326296784,-0.06995202689455034,641313806.6666666,589972377,-0.08005664174536035,0.3917582883968625,-0.33483115262754154,-1,0.008331931602184463,0.6590410618616983,-0.023098808782957246,TRUE,0.21475806156030852
853710,1630822498.3333333,2138253463,0.3111503337642513,1416959252,1182712253,-0.16531667983350026,0.2755502322846558,2.8273791003998547,-1,0.15123997701243871,0.20723784394325162,0.27021774815028926,TRUE,0.20956518970199323
853720,6933010.666666667,8975941,0.2946671268162864,42893886.333333336,26927772,-0.3722235427505641,0.048930570353252274,NA,NA,0.3368178861718755,1.0999365242165735,-0.7334127751975866,TRUE,0.23444721173028749
853810,18748501.666666668,25477212,0.35889323066794393,30865419.333333332,34197831,0.1079658640201206,0.8218120155023098,NA,-1,0.874185325007722,-0.44559952411976317,-0.20987732147087362,TRUE,0.07290282647236172
853890,614617774.6666666,493201704,-0.19754728169473415,536981176.6666666,483028018,-0.10047495333371488,0.21084385280649445,0.5358980799582023,-1,0.010837660326283468,0.7471730428068004,-0.02862963282734355,TRUE,0.24312702343524675
853910,20720362,24864498,0.2000030694444431,15170018.666666666,11008594,-0.27431902083354937,-0.7997449201224661,NA,-1,NA,NA,-0.2548887716237239,FALSE,-0.2548887716237239
853921,112092814,60025169,-0.4645047540692483,23932329.333333332,11156210,-0.5338435367232954,-0.5822069388361647,1,-1,0.19177073054496618,0.5445870412417033,0.25194820061620166,TRUE,0.3294353241342904
853922,155622175.33333334,96258912,-0.38145761172005727,95092098,59665110,-0.3725544892279062,-0.9059852351644325,NA,-1,NA,NA,-0.5578715909809959,FALSE,-0.5578715909809959
853929,36103468.666666664,30976581,-0.14200540435606893,27680577.666666668,20650388,-0.25397554022626195,-0.5512636862145852,-0.3663856848538888,-1,-0.03227606449428754,NA,0.07683718552116915,TRUE,0.022280560513440805
853931,323506181,89474151,-0.723423673935924,58880343,36555627,-0.37915397333877626,-0.9661312366938428,NA,NA,NA,NA,NA,NA,NA
853932,72974126,41184753,-0.43562526531664114,20020831.666666668,12217078,-0.389781693218039,-0.5707142114068324,NA,NA,NA,NA,NA,NA,NA
853939,23935431.666666668,6288079,-0.737289927018237,6020520,5395450,-0.10382325779168576,NA,NA,-1,-0.6449153211456745,NA,NA,FALSE,-0.6449153211456745
853941,5204867.333333333,2754907,-0.47070562541395544,3651324.6666666665,1313209,-0.6403472383629905,NA,NA,NA,NA,NA,NA,NA,NA
853949,27652025.333333332,18323279,-0.33736213607789256,23295989.333333332,18648852,-0.19948229142962057,-0.13529657988234992,NA,-1,NA,NA,-0.4782976480049525,FALSE,-0.4782976480049525
853990,17621577,13572365,-0.22978715242114825,8489981.333333334,5253857,-0.3811697819202115,-0.9706458702578834,NA,NA,NA,NA,-0.34661313037670277,FALSE,-0.34661313037670277
854020,5576275,6875775,0.2330408740601925,9378087.666666666,5440121,-0.4199114794654475,NA,NA,NA,NA,NA,NA,NA,NA
854071,3594625.3333333335,3542776,-0.01442412728039532,4554006,9684363,1.1265591217929884,NA,NA,NA,NA,NA,NA,NA,NA
854081,2708118.6666666665,3273301,0.20869924951590016,1366121.3333333333,1074950,-0.2131372420800104,NA,NA,NA,NA,NA,NA,NA,NA
854089,5165375.333333333,4574780,-0.11433735115473372,4836588.666666667,3914824,-0.19058157106048443,NA,NA,NA,-0.9105593350385228,NA,NA,FALSE,-0.9105593350385228
